,time,wind_speed,wind_direction,temperature,wind_power,theoretical_power
64,2022-12-03 16:00:00,8.991196,57.932194,10.269867,6350.0,4593.719933815612
65,2022-12-03 17:00:00,7.983055,54.7918,10.5564575,5450.0,3217.2239668366633
66,2022-12-03 18:00:00,6.9627123,56.05848,10.93042,5950.0,2135.71153870833
67,2022-12-03 19:00:00,6.28362,56.506092,11.112274,5980.0,1570.2421452429712
68,2022-12-03 20:00:00,5.8042254,57.128254,11.055725,6180.0,1237.4456741304907
69,2022-12-03 21:00:00,5.5364904,62.80565,10.807037,5680.0,1073.9382067277759
70,2022-12-03 22:00:00,6.6246552,68.02119,10.379089,4530.0,1840.7282143160157
71,2022-12-03 23:00:00,6.7833343,59.96334,10.430511,6380.0,1974.934408869185
72,2022-12-04 00:00:00,6.213993,55.42639,10.630341,7040.0,1517.5104934461624
73,2022-12-04 01:00:00,5.782548,56.43235,10.505035,5690.0,1223.553967109669
74,2022-12-04 02:00:00,5.6108174,58.862637,10.274994,4320.0,1118.78556635491
75,2022-12-04 03:00:00,5.3738317,54.776665,10.215881,4140.0,983.3837184577068
76,2022-12-04 04:00:00,5.0192714,51.378925,10.426636,4630.0,801.03710480048
77,2022-12-04 05:00:00,4.719302,48.985916,10.639984,4280.0,665.6782487091004
78,2022-12-04 06:00:00,4.2594023,48.70886,10.683044,3600.0,489.70481757414126
79,2022-12-04 07:00:00,3.693062,49.766014,10.746643,3940.0,319.3018798117328
80,2022-12-04 08:00:00,3.1355011,51.806427,10.840454,4290.0,195.4992658333984
81,2022-12-04 09:00:00,2.829081,53.72745,10.983093,5280.0,143.61333795056322
82,2022-12-04 10:00:00,3.5936942,94.25867,10.239655,4790.0,295.30461266853166
83,2022-12-04 11:00:00,4.926626,90.86136,9.843201,5820.0,761.034114684725
84,2022-12-04 12:00:00,5.7979307,81.901306,9.279694,3190.0,1239.5121957866431
85,2022-12-04 13:00:00,6.246104,76.98788,9.006592,2790.0,1548.5294755343862
86,2022-12-04 14:00:00,6.3052764,79.19917,8.94812,2490.0,1591.8864291381578
87,2022-12-04 15:00:00,6.658127,81.26563,8.802246,3140.0,1874.0965050095974
88,2022-12-04 16:00:00,7.092046,74.50914,8.703308,2890.0,2265.4922675963803
89,2022-12-04 17:00:00,6.931461,69.24681,8.74057,1720.0,2116.3573745026856
90,2022-12-04 18:00:00,6.2068725,71.76587,8.822815,2740.0,1521.136225751188
91,2022-12-04 19:00:00,5.953055,73.68512,8.924988,4810.0,1344.0383853065193
92,2022-12-04 20:00:00,5.715829,76.2468,9.01944,6540.0,1191.1122357827771
93,2022-12-04 21:00:00,5.7674675,82.61594,8.865875,7380.0,1224.6247681710042
94,2022-12-04 22:00:00,7.818258,82.33689,8.338318,3630.0,3059.578258145109
95,2022-12-04 23:00:00,8.283147,71.405975,8.244507,4540.0,3638.0258004942043
96,2022-12-05 00:00:00,7.2260528,65.80231,8.369171,3120.0,2414.8666333838005
97,2022-12-05 01:00:00,6.2321787,66.67366,8.509888,1790.0,1549.2219226624998
98,2022-12-05 02:00:00,6.0179,69.95915,8.498962,3500.0,1395.5823981393507
99,2022-12-05 03:00:00,6.1011863,70.63043,8.493835,2980.0,1454.5766219349914
100,2022-12-05 04:00:00,6.050372,69.195366,8.523376,2240.0,1418.4363334334082
101,2022-12-05 05:00:00,6.171979,74.29778,8.379456,1720.0,1505.3367268282047
102,2022-12-05 06:00:00,6.505836,76.19719,8.233582,2020.0,1763.2604042553671
103,2022-12-05 07:00:00,6.6330533,73.350525,8.3723755,1830.0,1868.2348268354167
104,2022-12-05 08:00:00,6.591548,71.80784,8.534943,1970.0,1832.7983415386461
105,2022-12-05 09:00:00,6.498112,74.64004,8.6197815,1610.0,1754.7797292992093
106,2022-12-05 10:00:00,5.2371163,93.86058,9.287384,1290.0,917.1667639155676
107,2022-12-05 11:00:00,7.162135,97.71151,8.54715,1180.0,2341.916392999648
108,2022-12-05 12:00:00,8.507982,93.09708,8.052399,1150.0,3915.3423561016775
109,2022-12-05 13:00:00,8.799641,92.57117,8.05368,1700.0,4326.711614372955
110,2022-12-05 14:00:00,8.636132,88.34745,8.137848,2590.0,4090.79834179145
111,2022-12-05 15:00:00,8.420389,81.98336,8.298492,4090.0,3792.077388069798
112,2022-12-05 16:00:00,8.283926,79.68115,8.473267,4320.0,3609.977669085033
113,2022-12-05 17:00:00,8.420662,78.30962,8.482269,3920.0,3792.941548826307
114,2022-12-05 18:00:00,8.347263,77.66813,8.36145,2480.0,3697.2367102381622
115,2022-12-05 19:00:00,8.396048,79.20855,8.202118,2880.0,3765.490701465262
116,2022-12-05 20:00:00,8.629767,82.432236,8.069092,3010.0,4090.4334831076244
117,2022-12-05 21:00:00,9.022937,85.40204,7.948944,2660.0,4675.277119231121
118,2022-12-05 22:00:00,8.706115,77.32593,8.075531,3270.0,4195.124477025215
119,2022-12-05 23:00:00,8.139972,73.98394,8.033752,4480.0,3429.3441815986257
120,2022-12-06 00:00:00,7.1660724,74.61286,8.014465,4060.0,2340.5824249553907
121,2022-12-06 01:00:00,6.7847786,81.76074,7.981079,5970.0,1986.2017606730317
122,2022-12-06 02:00:00,7.0908284,87.63071,7.8898315,6400.0,2266.091765487242
123,2022-12-06 03:00:00,7.416549,87.72359,7.8171997,3260.0,2591.9206526936205
124,2022-12-06 04:00:00,7.3461204,86.067055,7.734955,3130.0,2518.9614563013088
125,2022-12-06 05:00:00,7.246593,86.07822,7.6752014,4470.0,2419.37042521521
126,2022-12-06 06:00:00,7.2304864,87.44981,7.6000366,5280.0,2404.4834976627944
127,2022-12-06 07:00:00,7.187078,87.76295,7.51651,4970.0,2362.5531047109703
128,2022-12-06 08:00:00,7.0181603,86.63203,7.45224,5560.0,2200.773865010608
129,2022-12-06 09:00:00,6.2716293,84.1742,7.3102417,3800.0,1570.3048353786664
130,2022-12-06 10:00:00,4.312849,93.96031,8.92627,3450.0,508.36514367290766
131,2022-12-06 11:00:00,4.5567417,101.13071,9.032288,3550.0,598.8312729308444
132,2022-12-06 12:00:00,5.14765,101.10609,9.117767,2440.0,861.9918536471482
133,2022-12-06 13:00:00,5.8055606,98.29456,9.090759,1750.0,1235.3220397360478
134,2022-12-06 14:00:00,5.9187064,95.59825,9.024597,1820.0,1308.5271854802622
135,2022-12-06 15:00:00,5.6598387,90.97537,8.986023,2200.0,1144.5371428181938
136,2022-12-06 16:00:00,5.5638976,87.07986,9.03421,1800.0,1087.6196922724764
137,2022-12-06 17:00:00,5.4257293,83.25686,9.174957,1850.0,1008.7616016260749
138,2022-12-06 18:00:00,5.011671,77.34147,9.297668,1550.0,795.2265640652973
139,2022-12-06 19:00:00,4.365897,73.0656,9.37027,2150.0,526.020861642328
140,2022-12-06 20:00:00,3.6957989,75.60917,9.389557,1700.0,319.14293384963344
141,2022-12-06 21:00:00,3.0182395,84.65752,9.379913,1600.0,173.8135622513035
142,2022-12-06 22:00:00,2.8885267,78.17291,8.786194,1040.0,152.5447562138924
143,2022-12-06 23:00:00,2.6453364,69.20029,8.802887,680.0,117.14024526562721
144,2022-12-07 00:00:00,2.0841413,64.942635,8.81897,560.0,57.28758584134301
